ProductID,Date,Zip,Units,Revenue,Country
1085,2018-07-19,961-0917,1,86.572500,Japan
1085,2018-07-29,747-0004,1,86.572500,Japan
1085,2018-08-06,750-0052,1,86.572500,Japan
1085,2018-08-10,720-2106,2,173.145000,Japan
1085,2018-08-13,747-0044,1,86.572500,Japan
1085,2018-08-17,921-8033,1,86.572500,Japan
1085,2018-08-18,723-0015,1,86.572500,Japan
1085,2018-08-25,722-0044,1,86.572500,Japan
1085,2018-08-31,960-0614,1,86.572500,Japan
1085,2018-09-02,771-0121,1,86.572500,Japan
1085,2018-09-03,960-0753,1,86.572500,Japan
1085,2018-09-10,742-0337,1,86.572500,Japan
1081,2017-05-09,920-0931,1,230.947500,Japan
1081,2017-06-26,742-0006,1,230.947500,Japan
1081,2017-06-29,742-0009,1,230.947500,Japan
1081,2018-02-14,743-0075,1,236.197500,Japan
1081,2018-02-28,960-8211,2,472.395000,Japan
1081,2018-05-10,746-0062,1,236.197500,Japan
1081,2018-05-28,922-0054,1,236.197500,Japan
1081,2018-07-26,770-0046,1,236.197500,Japan
1081,2018-10-06,920-1342,1,230.947500,Japan
1081,2018-10-07,740-0313,1,236.197500,Japan
1081,2018-10-26,921-8061,1,236.197500,Japan
1081,2019-08-11,747-0004,1,230.947500,Japan
1081,2019-11-25,770-0844,1,230.947500,Japan
1082,2012-02-15,720-1525,1,225.697500,Japan
1082,2012-03-15,920-2373,1,228.322500,Japan
1082,2012-07-15,740-0721,1,225.697500,Japan
1082,2012-07-15,747-0032,1,225.697500,Japan
1082,2012-07-15,750-0028,1,225.697500,Japan
1082,2012-11-15,750-0053,1,228.322500,Japan
1082,2013-01-10,960-0688,1,228.322500,Japan
1082,2013-01-24,744-0272,1,225.697500,Japan
1082,2013-03-19,747-0831,1,230.947500,Japan
1082,2013-04-26,960-1108,1,228.322500,Japan
1082,2013-07-18,746-0063,1,225.697500,Japan
1082,2013-08-09,746-0027,1,228.322500,Japan
1082,2013-08-18,722-1732,2,456.645000,Japan
1082,2013-09-30,750-0026,1,228.322500,Japan
1082,2013-10-28,961-0816,1,228.322500,Japan
1082,2013-11-15,961-0922,1,230.947500,Japan
1082,2014-01-08,960-0407,1,230.947500,Japan
1082,2014-01-12,920-0911,1,230.947500,Japan
1082,2014-05-13,740-1215,2,461.895000,Japan
1082,2014-06-30,771-0218,1,230.947500,Japan
1082,2014-07-17,960-0411,1,230.947500,Japan
1082,2014-07-23,779-3201,1,230.947500,Japan
1082,2014-09-04,740-1404,1,230.947500,Japan
1082,2014-10-06,720-0014,1,230.947500,Japan
1082,2014-11-21,722-0235,1,230.947500,Japan
1082,2014-12-26,960-0461,1,230.947500,Japan
1082,2015-02-07,770-0863,1,225.697500,Japan
1082,2015-05-15,961-0054,1,230.947500,Japan
1082,2015-06-05,961-0047,1,230.947500,Japan
1082,2015-06-26,960-8225,1,230.947500,Japan
1082,2015-07-25,746-0054,1,230.947500,Japan
1082,2015-11-08,960-0436,1,230.947500,Japan
1082,2015-11-19,922-0028,1,230.947500,Japan
1082,2015-12-30,745-0641,1,230.947500,Japan
1082,2016-01-23,720-1704,1,228.322500,Japan
1082,2016-03-01,921-8172,1,230.947500,Japan
1082,2016-06-30,961-0931,1,230.947500,Japan
1082,2016-07-21,747-0342,1,230.947500,Japan
1082,2016-07-28,745-0042,1,230.947500,Japan
1082,2016-09-02,744-0276,1,230.947500,Japan
